"Path","LineNumber","Line"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","40829","Before the period insert ?from an inactive industrial site as defined in"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","41219","572 construction industry or real estate development"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","41220","industry ; { ; and"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","41998","S.B. 224, REUSE OF INDUSTRIAL BYPRODUCT, by Senator C. Bramble, and"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","43110","H.B. 191 Air Quality Board Amendments (R. Barrus)"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","43179","H.B. 393 Air Quality Amendments (R. Barrus)"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","43858","H.B. 67 ?? PUBLIC HEARINGS ON PROPERTY TAX INCREASES (G. Froerer)"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","44893","H.B. 191 ?? AIR QUALITY BOARD AMENDMENTS (R. Barrus)"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","44973","H.B. 202 ?? SCHOOL DISTRICT TRAFFIC VIOLA TION COMPLAINT PROCEDURES "
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","46457","H.B. 393 ?? AIR QUALITY AMENDMENTS (R. Barrus)"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","46847","H.C.R. 5 ?? CONCURRENT RESOLUTION URGING THE REALIGNMENT OF AIR QUALITY"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","47540","S.B. 65 ?? AMENDMENTS TO PROPERTY TAX NOTICE, PUBLIC HEARING, AND"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","48403","S.B. 224 ?? REUSE OF INDUSTRIAL BYPRODUCT (C. Bramble)"
"C:\Users\Annie\OneDrive\Desktop\StewardBasin\archive\extracted_text\legacy\00004319.txt","48897","H.B. 67 Public Hearings on Property Tax Increases G. Froerer"
