"candidate_id","year_guess","confidence_score","county_guess","category_guess","source_file","line_number","matched_line","context"
"real_candidate_00146","2023","17","Uintah","Dust / PM / Gravel","4-05-23.txt","377","of this public hearing. It is up to both Duchesne and Uintah Coun?es to determine","a. Mr. Hyde: There is direct access from 2000 West to Highway 40.  The Road Departments of both Duchesne and Uintah Coun?es have not responded to the proposal at the ?me of this public hearing. It is up to both Duchesne and Uintah Coun?es to determine preferred sand haul routes.  The coun?es prefer that trucks stay on Highway 40 as opposed to using county roads."
"real_candidate_00147","2023","17","Uintah","Dust / PM / Gravel","4-05-23.txt","378","preferred sand haul routes.  The coun?es prefer that trucks stay on Highway 40 as","of both Duchesne and Uintah Coun?es have not responded to the proposal at the ?me of this public hearing. It is up to both Duchesne and Uintah Coun?es to determine preferred sand haul routes.  The coun?es prefer that trucks stay on Highway 40 as opposed to using county roads. Applicant Comments: Ma? Hyita"
"real_candidate_00148","2023","17","Uintah","Dust / PM / Gravel","4-05-23.txt","379","opposed to using county roads.","of this public hearing. It is up to both Duchesne and Uintah Coun?es to determine preferred sand haul routes.  The coun?es prefer that trucks stay on Highway 40 as opposed to using county roads. Applicant Comments: Ma? Hyita 4. Provided background on Wildcat Sand LLC; described the opera?on on the Winterton Property"
"real_candidate_00362","2021","13","Uintah","Traffic / Haul Route","Trail-Priority-Status-June-2021.txt","49","5 EQ-101 Grandview Trailhead Equestrian Connector 16 Keeps horse trailers from having to travel up the TH road and would be a safety improvement. All on USFS property.","3 OHV-110 Badlands ATV Trail Connections 9 1 Property owner opposed to allowing traffic on the public road through his property 4 MTB-133 Starvation Mountain Biking Loop 14 Mostly on State park and they want it. The tribal section would require more coordination, but their rec department was in favor. 5 EQ-101 Grandview Trailhead Equestrian Connector 16 Keeps horse trailers from having to travel up the TH road and would be a safety improvement. All on USFS property. 6 DTBK-103/EQ-105, PTH-124 Quitchampau Canyon Motorized Single Track Loop 15 All on public land, but crosses multiple agencies including USFS, BLM, and SITLA 7 DTBK-101/DTBK-104 South Slope Uintah Mountains Motorized Single Track Trail 16 All on USFS land. The forest said that the section from Pole Mountain to Pole Creek would be easy to designate if it were pursued. Other sections will require more coordination and"
"real_candidate_00262","2017","13","Uintah","Public Concern / Needs Review","December-2017.txt","161","Welby Weimer, the applicant and property owner stated he was recently laid off from","applicant was invited to speak. Welby Weimer, the applicant and property owner stated he was recently laid off from Uintah Machine, but wants to stay in the area and make a living."
